class,subclass,level,feature_name,feature_type,short_rules,tags,notes
Artificer,Alchemist,3,Alchemist Spells,subclass_feature,"You gain a small list of extra spells focused on healing, transmutation, and acidic or toxic effects; they are always prepared for you.","spells,alchemy,support",
Artificer,Alchemist,3,Experimental Elixir,subclass_feature,"Each day you can craft random or chosen magical elixirs that grant temporary boons like healing, transformation, or movement bonuses.","consumables,utility,healing",
Artificer,Artillerist,3,Artillerist Spells,subclass_feature,"You learn extra spells themed around force damage, area blasts, and protective wards; they are always prepared.","spells,blast,defense",
Artificer,Artillerist,3,Eldritch Cannon,subclass_feature,"You can build a small or tiny arcane cannon that you command in battle, choosing modes like a flamethrower cone, a force bolt, or a protective aura.","turret,offense,defense,construct",
Artificer,Battle Smith,3,Battle Smith Spells,subclass_feature,"You gain extra spells centered on protection, smiting, and construct support; they are always prepared.","spells,defense,offense",
Artificer,Battle Smith,3,Battle Ready,subclass_feature,"Your combat training lets you use Intelligence for attack and damage rolls with certain weapons, and you become proficient with martial weapons.","weapon,INT-attacks",
Artificer,Battle Smith,3,Steel Defender,subclass_feature,"You build a construct companion that guards and fights beside you, using your commands and reactions to protect allies.","companion,construct,defense",
Artificer,Alchemist,5,Alchemical Savant,subclass_feature,Your knowledge of reagents lets you add extra damage or healing to some of your spells when you cast them through alchemical tools.,"damage,healing,support",
Artificer,Artillerist,5,Arcane Firearm,subclass_feature,"You turn a wand, staff, or similar focus into an enhanced firearm-like implement that adds extra damage to your damaging spells.","damage,implement",
Artificer,Battle Smith,5,Extra Attack,subclass_feature,"You can attack twice, instead of once, whenever you take the Attack action on your turn.","offense,extra-attack",
Artificer,Alchemist,9,Restorative Reagents,subclass_feature,"Your mixtures can cleanse conditions and bolster allies, improving your healing and granting small defensive or saving throw benefits.","healing,condition-removal,support",
Artificer,Artillerist,9,Explosive Cannon,subclass_feature,"Your eldritch cannons hit harder and can detonate in a blast of energy when destroyed or dismissed, damaging nearby foes.","area,blast,turret",
